Price,Area,City,No. of Bedrooms,Resale,24X7Security,CarParking,School,Hospital
6968000,1340,Hyderabad,2,0,1,1,0,0
29000000,3498,Hyderabad,4,0,1,1,0,0
6590000,1318,Hyderabad,2,0,0,0,0,0
5739000,1295,Hyderabad,3,1,0,0,0,0
5679000,1145,Hyderabad,2,0,0,1,0,0
6099000,1230,Hyderabad,2,0,0,0,0,0
7000000,1350,Hyderabad,2,0,0,0,0,0
4198000,1400,Hyderabad,3,0,0,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
9800000,1520,Hyderabad,2,1,0,0,0,0
8903000,1535,Hyderabad,3,0,1,1,0,0
6300000,1150,Hyderabad,2,0,0,0,0,0
6300000,1285,Hyderabad,2,0,0,0,0,0
9000000,1897,Hyderabad,3,1,1,1,0,0
11100000,1725,Hyderabad,3,0,1,1,0,0
11500000,1665,Hyderabad,3,1,0,0,0,0
10900000,1592,Hyderabad,3,0,0,0,0,0
8625000,1150,Hyderabad,2,0,0,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
3900000,1050,Hyderabad,3,0,0,0,0,0
6968000,1340,Hyderabad,2,0,1,1,0,0
29000000,3498,Hyderabad,4,0,1,1,0,0
6590000,1318,Hyderabad,2,0,0,0,0,0
5739000,1295,Hyderabad,3,1,0,0,0,0
5679000,1145,Hyderabad,2,0,0,1,0,0
6099000,1230,Hyderabad,2,0,0,0,0,0
7000000,1350,Hyderabad,2,0,0,0,0,0
4198000,1400,Hyderabad,3,0,0,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
9800000,1520,Hyderabad,2,1,0,0,0,0
8903000,1535,Hyderabad,3,0,1,1,0,0
6300000,1150,Hyderabad,2,0,0,0,0,0
6300000,1285,Hyderabad,2,0,0,0,0,0
9000000,1897,Hyderabad,3,1,1,1,0,0
11100000,1725,Hyderabad,3,0,1,1,0,0
11500000,1665,Hyderabad,3,1,0,0,0,0
10900000,1592,Hyderabad,3,0,0,0,0,0
8625000,1150,Hyderabad,2,0,0,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
3900000,1050,Hyderabad,3,0,0,0,0,0
7800000,1735,Hyderabad,3,0,0,0,0,0
19600000,2800,Hyderabad,3,0,0,0,0,0
6050000,1050,Hyderabad,2,1,0,0,0,0
6150000,1230,Hyderabad,2,0,0,0,0,0
5000000,1175,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
30000000,2956,Hyderabad,4,1,0,0,0,0
2500000,680,Hyderabad,2,1,0,0,0,0
5900000,1350,Hyderabad,2,0,0,0,0,0
9700000,1970,Hyderabad,3,1,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
16000000,2005,Hyderabad,3,1,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
